3201000010779,FRESNILLO,FRESNILLO,REAL DEL FRESNO
3201000010780,FRESNILLO,FRESNILLO,REAL DE MINAS
3201000010781,FRESNILLO,FRESNILLO,DR. MONREAL
3201000010782,FRESNILLO,FRESNILLO,SATÉLITE
3201000010783,FRESNILLO,FRESNILLO,LAGUNILLA
3201000010784,FRESNILLO,FRESNILLO,PLUTARCO ELIAS CALLES
3201000010785,FRESNILLO,FRESNILLO,SOLIDARIDAD
3201000010786,FRESNILLO,FRESNILLO,TECNOLÓGICA
3201000010787,FRESNILLO,FRESNILLO,VENUSTIANO CARRANZA
3201000010788,FRESNILLO,FRESNILLO,EL VERGEL
3201000010789,FRESNILLO,FRESNILLO,EL VERGEL
3201000010790,FRESNILLO,FRESNILLO,VICTORIA II
3201000010791,FRESNILLO,FRESNILLO,VILLA JARDÍN
3201000010792,FRESNILLO,FRESNILLO,VILLAS DE PLATEROS
3201000010793,FRESNILLO,FRESNILLO,18 DE JULIO
3201000010794,FRESNILLO,FRESNILLO,ARTESANOS
3201000010795,FRESNILLO,FRESNILLO,EL BAJÍO DE FRESNILLO
3201000010796,FRESNILLO,FRESNILLO,EMILIANO ZAPATA SECCIÓN 7
3201000010797,FRESNILLO,FRESNILLO,FELIPE ANGELES
3201000010798,FRESNILLO,FRESNILLO,IMPRESIONISTAS I
3201000010799,FRESNILLO,FRESNILLO,JUAN ANTONIO CASAS TORRES
3201000010800,FRESNILLO,FRESNILLO,LICENCIADO ABEL DÁVILA
3201000010801,FRESNILLO,FRESNILLO,NUEVA ESPAÑA
3201000010802,FRESNILLO,FRESNILLO,DEL PARQUE
3201000010803,FRESNILLO,FRESNILLO,DEL POLICÍA
3201000010804,FRESNILLO,FRESNILLO,EL PUENTE
3201000010805,FRESNILLO,FRESNILLO,SAN FRANCISCO
3201000010806,FRESNILLO,FRESNILLO,SAN JAVIER
3201000010807,FRESNILLO,FRESNILLO,SAN JORGE
3201000010808,FRESNILLO,FRESNILLO,SAN MIGUEL
3201000010809,FRESNILLO,FRESNILLO,PANAMERICANA
3201000010811,FRESNILLO,FRESNILLO,CUAUHTÉMOC
3201000010812,FRESNILLO,FRESNILLO,NINGUNO
3201000010813,FRESNILLO,FRESNILLO,NINGUNO
3201000010814,FRESNILLO,FRESNILLO,NINGUNO
3201000010815,FRESNILLO,FRESNILLO,NINGUNO
3201000010817,FRESNILLO,FRESNILLO,LAS TORCAZAS
3201000010818,FRESNILLO,FRESNILLO,UNIVERSIDAD
3201000010819,FRESNILLO,FRESNILLO,VENUSTIANO CARRANZA II
3201000010820,FRESNILLO,FRESNILLO,COLINAS DEL REAL
3201000010821,FRESNILLO,FRESNILLO,EJIDAL
3201001060001,FRESNILLO,FRESNILLO,ESTACIÓN SAN JOSÉ
3201001350001,FRESNILLO,FRESNILLO,CENTRO
3201001350002,FRESNILLO,FRESNILLO,CIUDAD PERDIDA
3201001350003,FRESNILLO,FRESNILLO,LIENZO CHARRO
3201001350004,FRESNILLO,FRESNILLO,NEGRO
3201001350005,FRESNILLO,FRESNILLO,NUEVA
3201001350006,FRESNILLO,FRESNILLO,OJUELOS
3201001350007,FRESNILLO,FRESNILLO,LA PELUSA
3201001350008,FRESNILLO,FRESNILLO,LA SANTA CRUZ
3201001650001,FRESNILLO,FRESNILLO,CATA DE PLATA
3201001650002,FRESNILLO,FRESNILLO,JUNCOS
3201001650003,FRESNILLO,FRESNILLO,PUERTO
3201001650004,FRESNILLO,FRESNILLO,SOCAVÓN
3201001830001,FRESNILLO,FRESNILLO,CENTRO
3201001830002,FRESNILLO,FRESNILLO,LAS FLORES
3201001830003,FRESNILLO,FRESNILLO,FRANCISCO VILLA
3201001830004,FRESNILLO,FRESNILLO,DEL PANTEÓN
3201001830005,FRESNILLO,FRESNILLO,DEL SAINITO
3201001830006,FRESNILLO,FRESNILLO,NINGUNO
3201001830007,FRESNILLO,FRESNILLO,LA ZONA
3201001890001,FRESNILLO,FRESNILLO,RÍO FLORIDO
3201002100001,FRESNILLO,FRESNILLO,CENTRO
3201002100002,FRESNILLO,FRESNILLO,CHULA VISTA
3201002100003,FRESNILLO,FRESNILLO,ERENDIRILLA
